date,sold,capacity,revenue
2016-01-18,841,1804,10145.0
2016-01-19,670,1644,7777.0
2016-01-20,688,1644,8038.0
2016-01-21,745,1804,8963.0
2016-01-22,1242,2624,16444.0
2016-01-23,974,2132,11692.0
2016-01-24,1151,2296,15342.0
2016-01-25,789,1804,9426.0
2016-01-26,680,1644,7970.0
2016-01-27,730,1640,8501.0
2016-01-28,875,1804,10504.0
2016-01-29,1538,2624,20948.0
2016-01-30,1282,2132,16422.0
2016-01-31,1282,2296,16837.0
2016-02-01,839,1804,10100.0
2016-02-02,777,1640,9072.0
2016-02-03,807,1640,9431.0
2016-02-04,968,1804,11655.0
2016-02-05,1395,2624,18485.0
2016-02-06,1152,2132,14155.0
2016-02-07,1281,2296,17324.0
2016-02-08,882,1804,10759.0
2016-02-09,646,1640,7598.0
2016-02-10,799,1640,9514.0
2016-02-11,912,1804,11074.0
2016-02-12,1387,2624,18278.0
2016-02-13,1103,2132,13403.0
2016-02-14,1235,2296,16442.0
2016-02-15,962,1804,11556.0
2016-02-16,915,1640,11120.0
2016-02-17,949,1640,11761.0
2016-02-18,958,1804,11730.0
2016-02-19,1345,2624,17509.0
2016-02-20,1124,2132,13918.0
2016-02-21,1461,2296,20102.0
2016-02-22,956,1804,11705.0
2016-02-23,824,1640,9619.0
2016-02-24,813,1640,9851.0
2016-02-25,907,1804,11086.0
2016-02-26,1470,2624,19412.0
2016-02-27,1198,2132,14959.0
2016-02-28,1303,2296,17659.0
2016-02-29,956,1804,11847.0
2016-03-01,797,1640,9505.0
2016-03-02,734,1640,8628.0
2016-03-03,849,1804,10363.0
2016-03-04,1491,2624,20352.0
2016-03-05,1186,2132,14939.0
2016-03-06,1307,2258,17933.0
2016-03-07,894,1804,10814.0
2016-03-08,674,1640,7845.0
2016-03-09,817,1640,9892.0
2016-03-10,1027,1804,13213.0
2016-03-11,1692,2624,22952.0
2016-03-12,1261,2132,16018.0
2016-03-13,1433,2296,19994.0
2016-03-14,906,1776,11079.0
2016-03-15,780,1612,9232.0
2016-03-16,820,1640,9815.0
2016-03-17,894,1804,11164.0
2016-03-18,1625,2624,22567.0
2016-03-19,1472,2132,19701.0
2016-03-20,1373,2296,18811.0
2016-03-21,1070,1804,13319.0
2016-03-22,1017,1640,12668.0
2016-03-23,1080,1640,13761.0
2016-03-24,1112,1804,14332.0
2016-03-25,1455,2624,19121.0
2016-03-26,1220,2132,15895.0
2016-03-27,841,1804,10942.0
2016-03-28,1324,2296,18228.0
2016-03-29,1072,1804,14157.0
2016-03-30,983,1640,12285.0
2016-03-31,1139,1804,14927.0
2016-04-01,1547,2624,20508.0
2016-04-02,1356,2132,17388.0
2016-04-03,1563,2296,21939.0
2016-04-04,1062,1804,13356.0
2016-04-05,1008,1640,12500.0
2016-04-06,970,1640,11962.0
2016-04-07,1251,1804,16606.0
2016-04-08,1858,2815,24609.0
2016-04-09,1594,2215,21269.0
2016-04-10,1743,2570,25258.0
2016-04-11,1217,1804,15902.0
2016-04-12,1130,1766,14420.0
2016-04-13,1168,1640,15482.0
2016-04-14,1152,1804,14893.0
2016-04-15,1945,2707,27540.0
2016-04-16,1625,2215,22131.0
2016-04-17,1845,2433,27576.0
2016-04-18,1157,1804,14818.0
2016-04-19,922,1640,11034.0
2016-04-20,914,1640,10991.0
2016-04-21,1097,1804,14240.0
2016-04-22,1710,2790,23299.0
2016-04-23,1347,2132,17311.0
2016-04-24,1657,2628,22460.0
2016-04-25,1005,1804,12380.0
2016-04-26,815,1640,9620.0
2016-04-27,814,1640,9719.0
2016-04-28,1074,1804,13751.0
2016-04-29,1625,2624,22160.0
2016-04-30,1330,2132,17048.0
2016-05-01,1285,2296,17480.0
2016-05-02,954,1804,11700.0
2016-05-03,708,1640,8302.0
2016-05-04,1389,2632,17440.0
2016-05-05,1092,1804,14186.0
2016-05-06,1835,3444,23551.0
2016-05-07,2634,4264,33066.0
2016-05-08,3482,4682,49468.0
2016-05-09,2140,3608,27672.0
2016-05-10,1560,2788,18915.0
2016-05-11,829,1640,9955.0
2016-05-12,1095,1804,13978.0
2016-05-13,1802,2956,24932.0
2016-05-14,1349,2132,17237.0
2016-05-15,1119,1804,14431.0
2016-05-16,1448,2628,19895.0
2016-05-17,1207,1804,15454.0
2016-05-18,986,1640,12486.0
2016-05-19,1288,1867,17838.0
2016-05-20,1768,2624,24054.0
2016-05-21,1300,2132,16477.0
2016-05-22,1384,2296,19126.0
2016-05-23,971,1804,11945.0
2016-05-24,812,1640,9594.0
2016-05-25,1526,2624,19356.0
2016-05-26,1177,1804,15803.0
2016-05-27,1524,2624,19338.0
2016-05-28,1230,2132,15555.0
2016-05-29,1707,2628,23723.0
2016-05-30,1004,1804,12623.0
2016-05-31,786,1640,9383.0
2016-06-01,840,1640,10175.0
2016-06-02,954,1804,11915.0
2016-06-03,1795,2624,25142.0
2016-06-04,1497,2132,20213.0
2016-06-05,1545,2296,21873.0
2016-06-06,1091,1804,13664.0
2016-06-07,756,1640,8846.0
2016-06-08,846,1640,10095.0
2016-06-09,991,1804,12513.0
2016-06-10,1564,2624,21652.0
2016-06-11,1203,2132,15286.0
2016-06-12,1425,2296,19807.0
2016-06-13,1000,1804,12403.0
2016-06-14,797,1640,9538.0
2016-06-15,903,1640,10984.0
2016-06-16,942,1804,11640.0
2016-06-17,1627,2624,22133.0
2016-06-18,1354,2132,17394.0
2016-06-19,1364,2296,18692.0
2016-06-20,970,1804,12053.0
2016-06-21,822,1640,9768.0
2016-06-22,914,1640,11153.0
2016-06-23,954,1785,12032.0
2016-06-24,1714,2628,23553.0
2016-06-25,1368,2132,18720.0
2016-06-26,1415,2296,19663.0
2016-06-27,1108,1804,14221.0
2016-06-28,1030,1621,13047.0
2016-06-29,959,1640,11868.0
2016-06-30,1024,1804,13096.0
2016-07-01,1672,2624,22606.0
2016-07-02,1155,2132,14518.0
2016-07-03,1408,2296,19400.0
2016-07-04,1260,1887,16343.0
2016-07-05,1179,1723,14767.0
2016-07-06,1048,1640,13376.0
2016-07-07,1060,1804,13588.0
2016-07-08,1498,2624,19813.0
2016-07-09,1122,2132,13881.0
2016-07-10,1191,2296,16073.0
2016-07-11,977,1804,12023.0
2016-07-12,786,1640,9293.0
2016-07-13,809,1640,9615.0
2016-07-14,872,1804,10633.0
2016-07-15,1316,2624,17277.0
2016-07-16,1091,2132,13275.0
2016-07-17,1204,2296,16166.0
2016-07-18,940,1804,11630.0
2016-07-19,776,1640,9101.0
2016-07-20,821,1640,9664.0
2016-07-21,770,1804,9096.0
2016-07-22,1233,2624,15546.0
2016-07-23,989,2132,11787.0
2016-07-24,1173,2296,15607.0
2016-07-25,820,1804,9864.0
2016-07-26,800,1640,9376.0
2016-07-27,878,1640,10527.0
2016-07-28,992,1804,12440.0
2016-07-29,1255,2624,16275.0
2016-07-30,907,2132,10787.0
2016-07-31,1191,2296,15775.0
2016-08-01,775,1804,9218.0
2016-08-02,744,1640,8753.0
2016-08-03,783,1640,9308.0
2016-08-04,823,1804,9844.0
2016-08-05,1213,2624,15769.0
2016-08-06,898,2132,10549.0
2016-08-07,1231,2296,16466.0
2016-08-08,844,1804,10127.0
2016-08-09,925,1640,11203.0
2016-08-10,906,1640,11089.0
2016-08-11,873,1804,10895.0
2016-08-12,1311,2624,17155.0
2016-08-13,1071,2132,13219.0
2016-08-14,880,1804,11256.0
2016-08-15,1110,2296,14380.0
